
Host: lyskamm-1-1xl40s-4

Timers On : Sun Dec  7 11:18:55 2025
Timers Off: Sun Dec  7 11:27:41 2025

Wall Time:      525.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form core H                     :      0.183u      0.000s      0.037w      7 calls
HF: Form S/X                        :      0.117u      0.000s      0.016w      7 calls
HF: Guess                           :      1.917u      0.067s      0.299w      7 calls
SAD Guess                           :      1.867u      0.067s      0.293w      7 calls
HF: Form G                          :    154.983u      1.350s     23.405w     92 calls
RV: Form V                          :    138.250u      0.067s     20.724w     92 calls
Properties                          :     23.093p                         263791 calls
Functional                          :     12.821p                         263791 calls
V_xc                                :     46.588p                         263791 calls
JK: D                               :      0.017u      0.000s      0.005w     92 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     92 calls
JK: JK                              :     16.550u      1.267s      2.651w     92 calls
DFH: compute_JK()                   :     16.483u      1.267s      2.646w     92 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     92 calls
DFH: compute_J                      :      2.467u      0.000s      0.382w     92 calls
DFH: compute_K                      :      8.767u      0.017s      1.328w     92 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     92 calls
HF: Form F                          :      0.000u      0.000s      0.005w     92 calls
HF: Form D                          :      0.017u      0.000s      0.003w     92 calls
HF: DIIS                            :      2.533u      0.167s      0.397w     85 calls
HF: Form C                          :      1.300u      0.017s      0.190w     85 calls

--------------------------------------------------------------------------------------
V: Grid                             :     14.750u      0.250s      2.252w      7 calls
| build grid                        :      9.017u      0.067s      1.365w      7 calls
| post-process grid                 :      5.717u      0.183s      0.885w      7 calls
DFH: sparsity prep                  :      0.233u      0.017s      0.150w      7 calls
| Libint2ERI::Libint2ERI            :      0.167u      0.017s      0.099w      7 calls
DFH: initialize()                   :     14.500u      1.400s      2.394w      7 calls
| Libint2ERI::Libint2ERI            :      0.583u      0.017s      0.092w     35 calls
| DFH: AO Construction              :      3.917u      0.233s      0.633w      7 calls
| DFH: AO-Met. Contraction          :      3.967u      0.917s      0.722w      7 calls
HF: Form core H                     :      0.183u      0.000s      0.037w      7 calls
HF: Form S/X                        :      0.117u      0.000s      0.016w      7 calls
HF: Guess                           :      1.917u      0.067s      0.299w      7 calls
| SAD Guess                         :      1.867u      0.067s      0.293w      7 calls
HF: Form G                          :    154.983u      1.350s     23.405w     92 calls
| RV: Form V                        :    138.250u      0.067s     20.724w     92 calls
| | Properties                      :     23.093p                         263791 calls
| | Functional                      :     12.821p                         263791 calls
| | V_xc                            :     46.588p                         263791 calls
| JK: D                             :      0.017u      0.000s      0.005w     92 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     92 calls
| JK: JK                            :     16.550u      1.267s      2.651w     92 calls
| | DFH: compute_JK()               :     16.483u      1.267s      2.646w     92 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     92 calls
| | | DFH: compute_J                :      2.467u      0.000s      0.382w     92 calls
| | | DFH: compute_K                :      8.767u      0.017s      1.328w     92 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     92 calls
HF: Form F                          :      0.000u      0.000s      0.005w     92 calls
HF: Form D                          :      0.017u      0.000s      0.003w     92 calls
HF: DIIS                            :      2.533u      0.167s      0.397w     85 calls
HF: Form C                          :      1.300u      0.017s      0.190w     85 calls

**************************************************************************************
